Temp_C,f_GHz,eps_real,eps_real_err,eps_real_flag,eps_imag,eps_imag_err,eps_imag_flag,eps_static,eps_static_alt,eps_static_flag
32.35,9.61,65.8,0.7,,-25.0,0.7,,75.7,75.70,paren
17.6,9.61,60.3,0.6,,-33.1,0.7,,80.9,80.98,paren
14.15,9.61,57.9,0.6,,-35.9,0.7,,82.2,82.26,paren
10.25,9.61,55.2,0.5,,-37.9,0.7,,83.7,83.74,paren
6.85,9.61,51.7,0.5,,-38.7,0.6,,84.9,85.04,paren
3.5,9.61,48.4,0.4,,-40.7,0.6,,86.3,86.35,paren
1.75,9.61,45.7,0.35,,-41.0,0.5,,87.0,87.04,paren
-0.7,9.61,43.1,0.3,,-41.8,0.5,,88.0,,
-3.05,9.61,39.8,0.25,,-42.2,0.4,,89.0,,
-6.1,9.61,35.6,0.2,,-41.6,0.4,,90.4,,
-8.8,9.61,31.8,0.2,,-40.8,0.4,,91.6,,
-11.6,9.61,27.7,0.2,,-39.1,0.3,,92.7,,
-16.25,9.61,21.7,0.2,,-34.7,0.3,,94.8,,
-18.0,9.61,19.5,0.15,,-32.4,0.3,,95.6,,bracket
-18.2,9.61,19.2,0.15,,-32.5,0.3,,95.7,,bracket
-19.65,9.61,17.6,,bracket,-31.5,,bracket,96.3,,bracket
-20.0,9.61,17.0,,bracket,-30.8,,bracket,96.5,,bracket
-21.35,9.61,15.4,,bracket,-29.0,,bracket,97.0,,bracket
